Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000127_21I6LW_20150612_131327E	2015-06-12_13-13-27	Indoors	
B00000128_21I6LW_20150612_131406E	2015-06-12_13-14-06	Indoors	
B00000129_21I6LW_20150612_131440E	2015-06-12_13-14-40	Indoors	
B00000130_21I6LW_20150612_131521E	2015-06-12_13-15-21	Indoors	
B00000131_21I6LW_20150612_131601E	2015-06-12_13-16-01	Indoors	
B00000132_21I6LW_20150612_131632E	2015-06-12_13-16-32	Indoors	
B00000133_21I6LW_20150612_131703E	2015-06-12_13-17-03	Indoors	
B00000134_21I6LW_20150612_131734E	2015-06-12_13-17-34	Indoors	
B00000135_21I6LW_20150612_131805E	2015-06-12_13-18-05	Indoors	
B00000136_21I6LW_20150612_131836E	2015-06-12_13-18-36	Indoors	
B00000137_21I6LW_20150612_131907E	2015-06-12_13-19-07	Indoors	
B00000138_21I6LW_20150612_131938E	2015-06-12_13-19-38	Indoors	
B00000139_21I6LW_20150612_132009E	2015-06-12_13-20-09	Indoors	
B00000140_21I6LW_20150612_132040E	2015-06-12_13-20-40	Indoors	
B00000141_21I6LW_20150612_132111E	2015-06-12_13-21-11	Indoors	
B00000142_21I6LW_20150612_132142E	2015-06-12_13-21-42	Indoors	
B00000143_21I6LW_20150612_132213E	2015-06-12_13-22-13	Indoors	
B00000144_21I6LW_20150612_132244E	2015-06-12_13-22-44	Indoors	
B00000145_21I6LW_20150612_132319E	2015-06-12_13-23-19	Indoors	
B00000146_21I6LW_20150612_132357E	2015-06-12_13-23-57	Indoors	
B00000147_21I6LW_20150612_132428E	2015-06-12_13-24-28	Indoors	
B00000148_21I6LW_20150612_132459E	2015-06-12_13-24-59	Indoors	
B00000149_21I6LW_20150612_132530E	2015-06-12_13-25-30	Indoors	
B00000150_21I6LW_20150612_132601E	2015-06-12_13-26-01	Indoors	
B00000151_21I6LW_20150612_132632E	2015-06-12_13-26-32	Indoors	
B00000152_21I6LW_20150612_132703E	2015-06-12_13-27-03	Indoors	
B00000153_21I6LW_20150612_132734E	2015-06-12_13-27-34	Indoors	
B00000154_21I6LW_20150612_132811E	2015-06-12_13-28-11	Indoors	
B00000155_21I6LW_20150612_132842E	2015-06-12_13-28-42	Indoors	
B00000156_21I6LW_20150612_132913E	2015-06-12_13-29-13	Indoors	
B00000157_21I6LW_20150612_132944E	2015-06-12_13-29-44	Indoors	
B00000158_21I6LW_20150612_133015E	2015-06-12_13-30-15	Indoors	
B00000159_21I6LW_20150612_133046E	2015-06-12_13-30-46	Indoors	
B00000160_21I6LW_20150612_133117E	2015-06-12_13-31-17	Indoors	
B00000161_21I6LW_20150612_133148E	2015-06-12_13-31-48	Indoors	
B00000162_21I6LW_20150612_133219E	2015-06-12_13-32-19	Indoors	
B00000163_21I6LW_20150612_133249E	2015-06-12_13-32-49	Indoors	
B00000164_21I6LW_20150612_133320E	2015-06-12_13-33-20	Indoors	
B00000165_21I6LW_20150612_133400E	2015-06-12_13-33-59	Indoors	
B00000166_21I6LW_20150612_133429E	2015-06-12_13-34-29	Indoors	
B00000167_21I6LW_20150612_133500E	2015-06-12_13-35-00	Indoors	
B00000168_21I6LW_20150612_133530E	2015-06-12_13-35-30	Indoors	
B00000169_21I6LW_20150612_133601E	2015-06-12_13-36-01	Indoors	
B00000170_21I6LW_20150612_133632E	2015-06-12_13-36-32	Indoors	
B00000171_21I6LW_20150612_133703E	2015-06-12_13-37-03	Indoors	
B00000172_21I6LW_20150612_133734E	2015-06-12_13-37-34	Indoors	
B00000173_21I6LW_20150612_133805E	2015-06-12_13-38-05	Indoors	
B00000174_21I6LW_20150612_133836E	2015-06-12_13-38-36	Indoors	
B00000175_21I6LW_20150612_133907E	2015-06-12_13-39-07	Indoors	
B00000176_21I6LW_20150612_133938E	2015-06-12_13-39-38	Indoors	
B00000177_21I6LW_20150612_134009E	2015-06-12_13-40-09	Indoors	
B00000178_21I6LW_20150612_134050E	2015-06-12_13-40-50	Indoors	
B00000179_21I6LW_20150612_134121E	2015-06-12_13-41-21	Indoors	
B00000180_21I6LW_20150612_134152E	2015-06-12_13-41-52	Indoors	
B00000181_21I6LW_20150612_134223E	2015-06-12_13-42-23	Indoors	
B00000182_21I6LW_20150612_134254E	2015-06-12_13-42-54	Indoors	
B00000183_21I6LW_20150612_134325E	2015-06-12_13-43-25	Indoors	
B00000184_21I6LW_20150612_134355E	2015-06-12_13-43-55	Indoors	
B00000185_21I6LW_20150612_134426E	2015-06-12_13-44-26	Indoors	
B00000186_21I6LW_20150612_134456E	2015-06-12_13-44-56	Indoors	
B00000187_21I6LW_20150612_134527E	2015-06-12_13-45-27	Indoors	
B00000188_21I6LW_20150612_134557E	2015-06-12_13-45-57	Indoors	
B00000189_21I6LW_20150612_134628E	2015-06-12_13-46-28	Indoors	
B00000190_21I6LW_20150612_134700E	2015-06-12_13-47-00	Indoors	
B00000191_21I6LW_20150612_134731E	2015-06-12_13-47-31	Indoors	
B00000192_21I6LW_20150612_134808E	2015-06-12_13-48-08	Indoors	
B00000193_21I6LW_20150612_134839E	2015-06-12_13-48-39	Indoors	
B00000194_21I6LW_20150612_134910E	2015-06-12_13-49-10	Indoors	
B00000195_21I6LW_20150612_134941E	2015-06-12_13-49-41	Indoors	
B00000196_21I6LW_20150612_135016E	2015-06-12_13-50-16	Indoors	
B00000197_21I6LW_20150612_135055E	2015-06-12_13-50-55	Indoors	
B00000198_21I6LW_20150612_135126E	2015-06-12_13-51-26	Indoors	
B00000199_21I6LW_20150612_135203E	2015-06-12_13-52-03	Indoors	
B00000200_21I6LW_20150612_135234E	2015-06-12_13-52-34	Indoors	
B00000201_21I6LW_20150612_135305E	2015-06-12_13-53-05	Indoors	
B00000202_21I6LW_20150612_135336E	2015-06-12_13-53-36	Indoors	
B00000203_21I6LW_20150612_135407E	2015-06-12_13-54-07	Indoors	
B00000204_21I6LW_20150612_135438E	2015-06-12_13-54-38	Indoors	
B00000205_21I6LW_20150612_135509E	2015-06-12_13-55-09	Indoors	
B00000206_21I6LW_20150612_135540E	2015-06-12_13-55-40	Indoors	
B00000207_21I6LW_20150612_135611E	2015-06-12_13-56-11	Indoors	
B00000208_21I6LW_20150612_135642E	2015-06-12_13-56-42	Indoors	
B00000209_21I6LW_20150612_135713E	2015-06-12_13-57-13	Indoors	
B00000210_21I6LW_20150612_135745E	2015-06-12_13-57-44	Indoors	
B00000211_21I6LW_20150612_135815E	2015-06-12_13-58-15	Indoors	
B00000212_21I6LW_20150612_135846E	2015-06-12_13-58-46	Indoors	
B00000213_21I6LW_20150612_135917E	2015-06-12_13-59-17	Indoors	
B00000214_21I6LW_20150612_135947E	2015-06-12_13-59-47	Indoors	
B00000215_21I6LW_20150612_140017E	2015-06-12_14-00-17	Indoors	
B00000216_21I6LW_20150612_140047E	2015-06-12_14-00-47	Indoors	
B00000217_21I6LW_20150612_140118E	2015-06-12_14-01-18	Indoors	
B00000218_21I6LW_20150612_140149E	2015-06-12_14-01-49	Indoors	
B00000219_21I6LW_20150612_140220E	2015-06-12_14-02-20	Outdoors	
B00000220_21I6LW_20150612_140253E	2015-06-12_14-02-53	Outdoors	
B00000221_21I6LW_20150612_140326E	2015-06-12_14-03-26	Outdoors	
B00000222_21I6LW_20150612_140407E	2015-06-12_14-04-07	Outdoors	
B00000223_21I6LW_20150612_140446E	2015-06-12_14-04-46	Outdoors	
B00000224_21I6LW_20150612_140526E	2015-06-12_14-05-25	Outdoors	
B00000225_21I6LW_20150612_140600E	2015-06-12_14-06-00	Outdoors	
B00000226_21I6LW_20150612_140633E	2015-06-12_14-06-33	Outdoors	
