name,image_path,image_time,annotation
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000075_21I6LW_20150603_093406E.JPG,2015-06-03 09:34:06,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000076_21I6LW_20150603_093441E.JPG,2015-06-03 09:34:41,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000077_21I6LW_20150603_093519E.JPG,2015-06-03 09:35:19,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000078_21I6LW_20150603_093601E.JPG,2015-06-03 09:36:01,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000079_21I6LW_20150603_093639E.JPG,2015-06-03 09:36:39,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000080_21I6LW_20150603_093720E.JPG,2015-06-03 09:37:20,01.CK;02B. Kitchen
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000081_21I6LW_20150603_093753E.JPG,2015-06-03 09:37:53,01.CK;01A.Biomass
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000082_21I6LW_20150603_093825E.JPG,2015-06-03 09:38:25,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000083_21I6LW_20150603_093901E.JPG,2015-06-03 09:39:01,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000084_21I6LW_20150603_093939E.JPG,2015-06-03 09:39:39,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000085_21I6LW_20150603_094013E.JPG,2015-06-03 09:40:13,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000086_21I6LW_20150603_094049E.JPG,2015-06-03 09:40:49,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000087_21I6LW_20150603_094123E.JPG,2015-06-03 09:41:23,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000088_21I6LW_20150603_094154E.JPG,2015-06-03 09:41:54,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000089_21I6LW_20150603_094311E.JPG,2015-06-03 09:43:11,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000090_21I6LW_20150603_094345E.JPG,2015-06-03 09:43:45,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000091_21I6LW_20150603_094423E.JPG,2015-06-03 09:44:23,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000092_21I6LW_20150603_094454E.JPG,2015-06-03 09:44:54,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000093_21I6LW_20150603_094526E.JPG,2015-06-03 09:45:26,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000094_21I6LW_20150603_094600E.JPG,2015-06-03 09:46:00,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000095_21I6LW_20150603_094711E.JPG,2015-06-03 09:47:11,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000096_21I6LW_20150603_094820E.JPG,2015-06-03 09:48:20,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000097_21I6LW_20150603_094853E.JPG,2015-06-03 09:48:53,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000098_21I6LW_20150603_094934E.JPG,2015-06-03 09:49:34,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000099_21I6LW_20150603_095015E.JPG,2015-06-03 09:50:15,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000100_21I6LW_20150603_095050E.JPG,2015-06-03 09:50:50,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000101_21I6LW_20150603_095128E.JPG,2015-06-03 09:51:28,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000102_21I6LW_20150603_095208E.JPG,2015-06-03 09:52:08,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000103_21I6LW_20150603_095243E.JPG,2015-06-03 09:52:43,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000104_21I6LW_20150603_095325E.JPG,2015-06-03 09:53:25,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000105_21I6LW_20150603_095406E.JPG,2015-06-03 09:54:06,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000106_21I6LW_20150603_095446E.JPG,2015-06-03 09:54:46,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000107_21I6LW_20150603_095519E.JPG,2015-06-03 09:55:19,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000108_21I6LW_20150603_095554E.JPG,2015-06-03 09:55:54,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000109_21I6LW_20150603_095634E.JPG,2015-06-03 09:56:34,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000110_21I6LW_20150603_095708E.JPG,2015-06-03 09:57:08,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000111_21I6LW_20150603_095749E.JPG,2015-06-03 09:57:49,
