"B00000246_21I6LU_20150527_101948E	2015-05-27_10-19-48	Indoors	"
"B00000247_21I6LU_20150527_102028E	2015-05-27_10-20-28	Indoors	"
"B00000248_21I6LU_20150527_102107E	2015-05-27_10-21-06	Indoors	"
"B00000249_21I6LU_20150527_102136E	2015-05-27_10-21-36	Indoors	"
"B00000250_21I6LU_20150527_102215E	2015-05-27_10-22-15	Indoors	"
"B00000251_21I6LU_20150527_102248E	2015-05-27_10-22-48	Indoors	"
"B00000252_21I6LU_20150527_102319E	2015-05-27_10-23-19	Indoors	"
"B00000253_21I6LU_20150527_102350E	2015-05-27_10-23-50	Indoors	"
"B00000254_21I6LU_20150527_102431E	2015-05-27_10-24-31	Indoors	"
"B00000255_21I6LU_20150527_102508E	2015-05-27_10-25-08	Indoors	"
"B00000256_21I6LU_20150527_102539E	2015-05-27_10-25-39	Indoors	"
"B00000257_21I6LU_20150527_102610E	2015-05-27_10-26-10	Indoors	"
"B00000258_21I6LU_20150527_102647E	2015-05-27_10-26-47	Indoors	"
"B00000259_21I6LU_20150527_102718E	2015-05-27_10-27-18	Indoors	"
"B00000260_21I6LU_20150527_102749E	2015-05-27_10-27-49	Indoors	"
"B00000261_21I6LU_20150527_102820E	2015-05-27_10-28-20	Indoors	"
"B00000262_21I6LU_20150527_102851E	2015-05-27_10-28-51	Indoors	"
"B00000263_21I6LU_20150527_102922E	2015-05-27_10-29-22	Indoors	"
"B00000264_21I6LU_20150527_102953E	2015-05-27_10-29-53	Indoors	"
"B00000265_21I6LU_20150527_103028E	2015-05-27_10-30-28	Indoors	"
"B00000266_21I6LU_20150527_103105E	2015-05-27_10-31-05	Indoors	"
"B00000267_21I6LU_20150527_103136E	2015-05-27_10-31-36	Indoors	"
"B00000268_21I6LU_20150527_103207E	2015-05-27_10-32-07	Indoors	"
"B00000269_21I6LU_20150527_103241E	2015-05-27_10-32-41	Indoors	"
"B00000270_21I6LU_20150527_103311E	2015-05-27_10-33-11	Indoors	"
"B00000271_21I6LU_20150527_103341E	2015-05-27_10-33-41	Indoors	"
"B00000272_21I6LU_20150527_103413E	2015-05-27_10-34-13	Indoors	"
"B00000273_21I6LU_20150527_103451E	2015-05-27_10-34-51	Indoors	"
"B00000274_21I6LU_20150527_103526E	2015-05-27_10-35-26	Indoors	"
"B00000275_21I6LU_20150527_103556E	2015-05-27_10-35-56	Indoors	"
"B00000276_21I6LU_20150527_103627E	2015-05-27_10-36-27	Indoors	"
"B00000277_21I6LU_20150527_103658E	2015-05-27_10-36-58	Indoors	"
"B00000278_21I6LU_20150527_103729E	2015-05-27_10-37-29	Indoors	"
"B00000279_21I6LU_20150527_103808E	2015-05-27_10-38-08	Indoors	"
"B00000280_21I6LU_20150527_103841E	2015-05-27_10-38-41	Indoors	"
"B00000281_21I6LU_20150527_103920E	2015-05-27_10-39-20	Indoors	"
"B00000282_21I6LU_20150527_103951E	2015-05-27_10-39-51	Indoors	"
"B00000283_21I6LU_20150527_104022E	2015-05-27_10-40-22	Indoors	"
"B00000284_21I6LU_20150527_104103E	2015-05-27_10-41-03	Indoors	"
"B00000285_21I6LU_20150527_104140E	2015-05-27_10-41-40	Indoors	"
"B00000286_21I6LU_20150527_104211E	2015-05-27_10-42-11	Indoors	"
"B00000287_21I6LU_20150527_104247E	2015-05-27_10-42-46	Indoors	"
"B00000288_21I6LU_20150527_104327E	2015-05-27_10-43-27	Indoors	"
"B00000289_21I6LU_20150527_104400E	2015-05-27_10-44-00	Indoors	"
"B00000290_21I6LU_20150527_104442E	2015-05-27_10-44-42	Indoors	"
"B00000291_21I6LU_20150527_104513E	2015-05-27_10-45-12	Indoors	"
"B00000292_21I6LU_20150527_104549E	2015-05-27_10-45-49	Indoors	"
"B00000293_21I6LU_20150527_104630E	2015-05-27_10-46-30	Indoors	"
"B00000294_21I6LU_20150527_104701E	2015-05-27_10-47-01	Indoors	"
"B00000295_21I6LU_20150527_104742E	2015-05-27_10-47-42	Indoors	"
"B00000296_21I6LU_20150527_104816E	2015-05-27_10-48-15	Indoors	"
"B00000297_21I6LU_20150527_104850E	2015-05-27_10-48-50	Indoors	"
"B00000298_21I6LU_20150527_104929E	2015-05-27_10-49-29	Indoors	"
"B00000299_21I6LU_20150527_105004E	2015-05-27_10-50-04	Indoors	"
"B00000300_21I6LU_20150527_105045E	2015-05-27_10-50-45	Indoors	"
"B00000301_21I6LU_20150527_105124E	2015-05-27_10-51-24	Indoors	"
"B00000302_21I6LU_20150527_105155E	2015-05-27_10-51-55	Indoors	"
"B00000303_21I6LU_20150527_105226E	2015-05-27_10-52-26	Indoors	"
"B00000304_21I6LU_20150527_105305E	2015-05-27_10-53-05	Indoors	"
"B00000305_21I6LU_20150527_105344E	2015-05-27_10-53-44	Indoors	"
"B00000306_21I6LU_20150527_105423E	2015-05-27_10-54-23	Indoors	"
"B00000307_21I6LU_20150527_105456E	2015-05-27_10-54-56	Indoors	"
"B00000308_21I6LU_20150527_105529E	2015-05-27_10-55-29	Indoors	"
"B00000309_21I6LU_20150527_105610E	2015-05-27_10-56-10	Indoors	"
"B00000310_21I6LU_20150527_105646E	2015-05-27_10-56-45	Indoors	"
"B00000311_21I6LU_20150527_105724E	2015-05-27_10-57-24	Indoors	"
"B00000312_21I6LU_20150527_105758E	2015-05-27_10-57-58	Indoors	"
"B00000313_21I6LU_20150527_105833E	2015-05-27_10-58-32	Indoors	"
"B00000314_21I6LU_20150527_105905E	2015-05-27_10-59-05	Indoors	"
"B00000315_21I6LU_20150527_105942E	2015-05-27_10-59-42	Indoors	"
"B00000316_21I6LU_20150527_110023E	2015-05-27_11-00-23	Indoors	"
"B00000317_21I6LU_20150527_110102E	2015-05-27_11-01-02	Indoors	"
"B00000318_21I6LU_20150527_110141E	2015-05-27_11-01-41	Indoors	"
"B00000319_21I6LU_20150527_110213E	2015-05-27_11-02-12	Indoors	"
"B00000320_21I6LU_20150527_110245E	2015-05-27_11-02-45	Indoors	"
"B00000321_21I6LU_20150527_110326E	2015-05-27_11-03-26	Indoors	"
"B00000322_21I6LU_20150527_110405E	2015-05-27_11-04-05	Indoors	"
"B00000323_21I6LU_20150527_110438E	2015-05-27_11-04-38	Indoors	"
"B00000324_21I6LU_20150527_110508E	2015-05-27_11-05-08	Indoors	"
"B00000325_21I6LU_20150527_110539E	2015-05-27_11-05-39	Indoors	"
"B00000326_21I6LU_20150527_110613E	2015-05-27_11-06-13	Indoors	"
"B00000327_21I6LU_20150527_110643E	2015-05-27_11-06-43	Indoors	"
"B00000328_21I6LU_20150527_110714E	2015-05-27_11-07-14	Indoors	"
"B00000329_21I6LU_20150527_110744E	2015-05-27_11-07-44	Indoors	"
"B00000330_21I6LU_20150527_110815E	2015-05-27_11-08-15	Indoors	"
"B00000331_21I6LU_20150527_110845E	2015-05-27_11-08-45	Indoors	"
"B00000332_21I6LU_20150527_110926E	2015-05-27_11-09-26	Indoors	"
"B00000333_21I6LU_20150527_111005E	2015-05-27_11-10-05	Indoors	"
"B00000334_21I6LU_20150527_111040E	2015-05-27_11-10-40	Indoors	"
"B00000335_21I6LU_20150527_111111E	2015-05-27_11-11-11	Indoors	"
"B00000336_21I6LU_20150527_111152E	2015-05-27_11-11-51	Indoors	"
"B00000337_21I6LU_20150527_111231E	2015-05-27_11-12-31	Indoors	"
"B00000338_21I6LU_20150527_111313E	2015-05-27_11-13-13	Indoors	"
"B00000339_21I6LU_20150527_111353E	2015-05-27_11-13-52	Indoors	"
"B00000340_21I6LU_20150527_111434E	2015-05-27_11-14-34	Indoors	"
"B00000341_21I6LU_20150527_111509E	2015-05-27_11-15-08	Indoors	"
"B00000342_21I6LU_20150527_111547E	2015-05-27_11-15-47	Indoors	"
"B00000343_21I6LU_20150527_111621E	2015-05-27_11-16-20	Indoors	"
"B00000344_21I6LU_20150527_111701E	2015-05-27_11-17-01	Indoors	"
"B00000345_21I6LU_20150527_111740E	2015-05-27_11-17-40	Indoors	"
